state,total_votes
Delaware,504010
District of Columbia,333682
Florida,11067083
Georgia,4992772
Hawaii,574341
Idaho,868125
Illinois,5939321
Indiana,3034891
Iowa,1688233
Kansas,1334330
Kentucky,2135193
Louisiana,2148062
Maine,786337
Maryland,2919884
Massachusetts,3498681
Michigan,5533240
Minnesota,3268372
Mississippi,1260790
Missouri,3010316
Montana,605738
Nebraska,946256
Nevada,1405376
New Hampshire,804453
New Jersey,4246876
New Mexico,923724
New York,6768394
North Carolina,5522618
North Dakota,361808
Ohio,5764587
Oklahoma,1560699
Oregon,2357873
Pennsylvania,6869253
Rhode Island,513602
South Carolina,2513329
South Dakota,422609
Tennessee,3049514
Texas,11279106
Utah,1463880
Vermont,367428
Virginia,4442604
Washington,4034129
West Virginia,793902
Wisconsin,3297225
Wyoming,276765
Alabama,2309900
Alaska,349473
Arkansas,1212065
California,16909159
Colorado,3256062
Connecticut,1823932
United States,154735847
Arizona,3385845
