state,county,biden_county_votes,trump_county_votes,total_county_votes,county_winner,biden_county_percent,trump_county_percent
Alabama,Autauga County,7450,19764,27639,trump,0.269546655088824,0.715076522305438
Alabama,Baldwin County,24344,83055,108945,trump,0.223452200651705,0.762357152691725
Alabama,Barbour County,4772,5605,10457,trump,0.456345032035957,0.536004590226642
Alabama,Bibb County,1982,7508,9573,trump,0.207040635119607,0.784289146558028
Alabama,Blount County,2627,24595,27459,trump,0.0956699078626316,0.895699042208383
Alabama,Bullock County,3439,1143,4603,biden,0.747121442537476,0.248316315446448
Alabama,Butler County,3953,5448,9466,trump,0.417599830974012,0.575533488273822
Alabama,Calhoun County,15118,34964,50743,trump,0.29793271978401,0.689040852925527
Alabama,Chambers County,6356,8748,15269,trump,0.416268255943415,0.57292553539852
Alabama,Cherokee County,1619,10562,12275,trump,0.131894093686354,0.860448065173116
Alabama,Chilton County,3056,16052,19260,trump,0.158670820353063,0.83343717549325
Alabama,Choctaw County,3126,4294,7461,trump,0.418978689183756,0.57552606889157
Alabama,Clarke County,5730,7310,13102,trump,0.437337811021218,0.557930087009617
Alabama,Clay County,1262,5589,6913,trump,0.182554607261681,0.808476782872848
Alabama,Cleburne County,672,6472,7210,trump,0.0932038834951456,0.897642163661581
Alabama,Coffee County,5050,16832,22180,trump,0.227682596934175,0.758881875563571
Alabama,Colbert County,7057,17311,24668,trump,0.286079130857791,0.701759364358683
Alabama,Conecuh County,2951,3435,6419,trump,0.459728929739835,0.535130082567378
Alabama,Coosa County,1794,3626,5472,trump,0.327850877192982,0.662646198830409
Alabama,Covington County,2717,14579,17418,trump,0.155988058330463,0.837007693190952
Alabama,Crenshaw County,1700,4864,6617,trump,0.256914009369805,0.735076318573372
Alabama,Cullman County,4454,36804,41751,trump,0.106680079519053,0.881511820076166
Alabama,Dale County,5154,14281,19699,trump,0.261637646581045,0.724960657901416
Alabama,Dallas County,12228,5523,17861,biden,0.684620122053636,0.309221208219025
Alabama,DeKalb County,4271,24744,29322,trump,0.145658549894277,0.843871495805197
Alabama,Elmore County,10304,30089,40891,trump,0.251986989802157,0.735834291164315
Alabama,Escambia County,4894,10844,15861,trump,0.308555576571465,0.683689552991615
Alabama,Etowah County,11487,35343,47460,trump,0.242035398230088,0.744690265486726
Alabama,Fayette County,1390,7295,8756,trump,0.15874828688899,0.833142987665601
Alabama,Franklin County,2085,10364,12564,trump,0.165950334288443,0.82489652976759
Alabama,Geneva County,1592,10844,12538,trump,0.12697399904291,0.86489073217419
Alabama,Greene County,3880,875,4771,biden,0.813246698805282,0.183399706560469
Alabama,Hale County,4687,3190,7922,biden,0.591643524362535,0.402676091895986
Alabama,Henry County,2589,6593,9266,trump,0.279408590546082,0.7115260090654
Alabama,Houston County,12738,32384,45750,trump,0.278426229508197,0.707846994535519
Alabama,Jackson County,3709,19644,23602,trump,0.157147699347513,0.832302347258707
Alabama,Jefferson County,180936,138443,324675,biden,0.557283437283437,0.426404866404866
Alabama,Lamar County,978,6168,7187,trump,0.136079031584806,0.858216223737303
Alabama,Lauderdale County,11872,31578,44149,trump,0.26890756302521,0.715259688781173
Alabama,Lawrence County,3544,12266,15957,trump,0.222096885379457,0.76869085667732
Alabama,Lee County,27600,42019,70980,trump,0.388841927303466,0.591983657368273
Alabama,Limestone County,13510,34337,48754,trump,0.27710546826927,0.704290929974976
Alabama,Lowndes County,4968,1835,6830,biden,0.727379209370425,0.268667642752562
Alabama,Macon County,7084,1539,8697,biden,0.814533747269173,0.176957571576406
Alabama,Madison County,86885,102395,193955,trump,0.447964734087804,0.527931736743059
Alabama,Marengo County,5476,5337,10882,biden,0.503216320529314,0.490442933284323
Alabama,Marion County,1457,12190,13786,trump,0.105686928768316,0.884230378645002
Alabama,Marshall County,5880,33094,39492,trump,0.148890914615618,0.837992504811101
Alabama,Mobile County,78754,100605,181783,trump,0.433230830165637,0.553434589593086
Alabama,Monroe County,4425,6129,10620,trump,0.416666666666667,0.577118644067797
Alabama,Montgomery County,64065,33122,98476,biden,0.650564604573703,0.33634591169422
Alabama,Morgan County,13159,39504,53482,trump,0.246045398451816,0.738641038106279
Alabama,Perry County,3849,1336,5215,biden,0.738063279002876,0.256184084372004
Alabama,Pickens County,4017,5590,9659,trump,0.415881561238223,0.578734858681023
Alabama,Pike County,5613,8020,13796,trump,0.406857060017396,0.581327921136561
Alabama,Randolph County,2203,8548,10824,trump,0.203529194382853,0.789726533628973
Alabama,Russell County,11078,9796,21108,biden,0.524824711010044,0.46408944476028
Alabama,Shelby County,33036,79428,114439,trump,0.288677810886149,0.694064086543923
Alabama,St. Clair County,7698,36119,44346,trump,0.173589500744148,0.814481576692374
Alabama,Sumter County,4639,1598,6282,biden,0.738459089461955,0.25437758675581
Alabama,Talladega County,13092,22210,35591,trump,0.367845803714422,0.624034165940828
Alabama,Tallapoosa County,5815,14905,20888,trump,0.278389505936423,0.713567598621218
Alabama,Tuscaloosa County,37514,50961,89760,trump,0.417936720142602,0.567747326203209
Alabama,Walker County,4826,25947,31106,trump,0.155146916993506,0.83414775284511
Alabama,Washington County,2253,6554,8861,trump,0.254260241507731,0.739645638189821
Alabama,Wilcox County,4036,1826,5884,biden,0.685927940176751,0.310333106730116
Alabama,Winston County,974,10187,11273,trump,0.0864011354564003,0.903663621041426
Alaska,ED 1,3476,3509,7311,trump,0.475447955136096,0.479961701545616
Alaska,ED 10,2724,8069,11190,trump,0.24343163538874,0.721090259159964
Alaska,ED 11,3129,7092,10623,trump,0.294549562270545,0.667608020333239
Alaska,ED 12,2954,7871,11213,trump,0.26344421653438,0.701953090163203
Alaska,ED 13,2663,4649,7707,trump,0.34553003762813,0.603217853899053
Alaska,ED 14,4260,6711,11437,trump,0.372475299466643,0.586779749934423
Alaska,ED 15,2614,2658,5538,trump,0.472011556518599,0.479956663055255
Alaska,ED 16,4273,3519,8121,biden,0.526166728235439,0.43332101957887
Alaska,ED 17,4095,2774,7159,biden,0.572007263584299,0.387484285514737
Alaska,ED 18,4679,2754,7711,biden,0.606795486966671,0.357152120347555
Alaska,ED 19,3115,1971,5294,biden,0.5884019644881,0.372308273517189
Alaska,ED 2,2102,3671,6131,trump,0.342847822541184,0.598760397977491
Alaska,ED 20,4834,2350,7410,biden,0.652361673414305,0.317139001349528
Alaska,ED 21,5409,3685,9419,biden,0.57426478394734,0.391230491559614
Alaska,ED 22,4541,4662,9484,trump,0.478806410797132,0.491564740615774
Alaska,ED 23,3796,3636,7705,biden,0.492667099286178,0.47190136275146
Alaska,ED 24,4734,5374,10422,trump,0.454231433506045,0.51563999232393
Alaska,ED 25,4592,4385,9294,biden,0.494082203572197,0.471809769743921
Alaska,ED 26,4557,5241,10108,trump,0.450831024930748,0.518500197863079
Alaska,ED 27,4843,4319,9499,biden,0.509843141383304,0.454679439941046
Alaska,ED 28,6259,6154,12736,biden,0.491441582914573,0.483197236180905
Alaska,ED 29,2984,7455,10737,trump,0.277917481605663,0.694328024587874
Alaska,ED 3,1902,6070,8375,trump,0.22710447761194,0.724776119402985
Alaska,ED 30,2637,7182,10177,trump,0.259113687727228,0.705708951557433
Alaska,ED 31,5032,6956,12389,trump,0.406166760836226,0.561465816450077
Alaska,ED 32,3496,4429,8313,trump,0.420546132563455,0.532779983158908
Alaska,ED 33,7534,3058,10952,biden,0.68791088385683,0.279218407596786
